City,Stringency_Jan,Stringency_Feb,Stringency_Mar,Workplaces_Jan,Workplaces_Feb,Workplaces_Mar,Residential_Jan,Residential_Feb,Residential_Mar,eFUA_ID,UC_num,UC_IDs,Commuting,Cntry_ISO,Cntry_name,FUA_area,UC_area,FUA_p_2015,UC_p_2015,Com_p_2015,med_pop,JanDec_negative,JanDec_neutral,JanDec_postitive,JanDec_negative_median,JanDec_neutral_median,JanDec_postitive_median,FebDec_negative,FebDec_neutral,FebDec_postitive,FebDec_negative_median,FebDec_neutral_median,FebDec_postitive_median,MarDec_negative,MarDec_neutral,MarDec_postitive,MarDec_negative_median,MarDec_neutral_median,MarDec_postitive_median,MarDec_neg_per,MarDec_neu_per,MarDec_pos_per
Kinshasa,0,1.034482759,33.90322581,0,0,0,0,0,0,1385,2,3209;3222,1,COD,DemocraticRepublicoftheCongo,591,398,5764312.319,5673738.328,90573.99033,1323.258179,1167,1852,956,-26,0,14,1716,2131,128,-45,0,19.5,1512,2028,435,-23,0,13,0.38,0.51,0.11
Kuala Lumpur,6.193548387,19,46,0,1.413793103,-30.80645161,0,1.034482759,18.58064516,1322,3,11139;11143;11154,1,MYS,Malaysia,3314,1401,7481102.847,6512806.376,968296.4717,503.2665405,6319,7566,6419,-9,0,9,3485,7459,9360,-5,0,12,4985,6709,8610,-9,0,9,0.25,0.33,0.42
Lagos,2.096774194,11,28.83870968,0,0.620689655,-9.774193548,0,0.206896552,7.516129032,865,4,2118;2125;2157;2180,1,NGA,Nigeria,2284,1322,12337226.55,11908527.23,428699.3194,342.4091187,4387,21903,2438,-6,0,3,5736,21544,1448,-10,0,3,3384,20990,4354,-9,0,8,0.12,0.73,0.15
Lahore,0.258064516,10.34482759,55.90322581,0,1.551724138,-22.06451613,0,-0.206896552,8.967741935,6458,6,6467;6473;6491;6494;6498;6515,1,PAK,Pakistan,3154,1074,11786290.59,10862772.59,923517.9945,644.8775635,4534,24385,4873,-7,0,11,3726,23746,6320,-6,0,11,5102,24165,4525,-9,0,10,0.15,0.72,0.13
Lima,0,0,58.32258065,0,0.068965517,-27.64516129,0,0.034482759,15.35483871,2327,2,528;539,1,PER,Peru,2121,896,9669592.866,9370163.928,299428.938,78.8527832,6661,15094,1554,-19,0,12,2639,15942,4728,-10,0,15,3198,15643,4468,-13,0,20,0.14,0.67,0.19
London,0,10.62068966,31.96774194,0,-2.551724138,-29.12903226,0,0.689655172,12.64516129,5288,12,1892;1895;1906;1912;1914;1924;1936;1945;1948;1960;1981;1983,1,GBR,UnitedKingdom,6605,2219,12598186.45,10765369.6,1832816.849,101.8095169,28351,53625,5354,-10,0,4,10178,53964,23188,-4,0,7,16460,54883,15987,-4,0,6,0.19,0.63,0.18
Los Angeles,0,5.793103448,45.77419355,,-0.333333333,-21.48387097,,0,10.93548387,1642,6,11;12;14;16;41;45,1,USA,UnitedStates,10407,5931,15655357.45,14865830.82,789526.6283,21.12370682,19412,80009,19489,-8,0,11,23067,79522,16321,-9,0,11,27487,78722,12701,-11,0,8,0.23,0.66,0.11
Luanda,0,4.965517241,24.19354839,0,-4.24137931,-9.741935484,0,0.965517241,7.096774194,506,2,3050;3079,1,AGO,Angola,1941,792,7308152.208,6851771.894,456380.3145,165.6184845,4929,9183,936,-15,0,11,3984,9012,2052,-15,0,10,3908,9195,1945,-13,0,10,0.26,0.61,0.13
Madrid,0.35483871,11,51.80645161,0,0.75862069,-43.67741935,0,-0.793103448,18.90322581,3147,2,1701;1719,1,ESP,Spain,4270,820,6131918.998,5078791.272,1053127.726,180.8729095,10213,19276,4286,-11,0,7,7314,19471,6990,-7,0,11,7938,18483,7354,-11,0,9,0.24,0.55,0.22
Melbourne,1.806451613,18.86206897,36.48387097,0,2.206896552,-22.64516129,0,-0.24137931,12.06451613,1266,2,13020;13023,1,AUS,Australia,8348,1692,4474593.5,3655352.3,819241.201,6.919704437,6853,84498,7837,-5,0,7,8739,84414,6035,-6,0,6,8635,83952,6601,-7,0,6,0.09,0.85,0.07
Mexico City,0,0.206896552,20.03225806,0,3,-13.4516129,0,-0.586206897,7.096774194,5006,8,154;159;158;161;164;167;168;170,1,MEX,Mexico,4831,2311,21410705.86,20286271.34,1124434.526,124.6493988,4896,16986,11422,-5,0,8,4658,15755,12891,-6,0,7,10262,16510,6532,-9,0,4,0.31,0.50,0.20
Milan,1.548387097,32.24137931,84.22580645,0,-5.620689655,-55.77419355,0,2.24137931,25.74193548,1600,4,2519;2521;2529;2559,1,ITA,Italy,3393,939,5121995.63,3511172.788,1610822.841,143.802475,17292,12359,7795,-7,0,4,18059,12040,7347,-9,0,4,15181,11284,10981,-8,0,5,0.41,0.30,0.29
Moscow,0.516129032,8,47.22580645,0,-1.689655172,-13.83870968,0,0.068965517,4.161290323,2262,4,3674;3675;3715;3725,1,RUS,Russia,8459,1949,16375317.15,14307985.69,2067331.452,151.5618057,13460,28627,57949,-8,0,13,10064,28246,61726,-6,0,15,21573,35035,43428,-7,0,14,0.22,0.35,0.43
Mumbai,2.129032258,10,54.74193548,0,-0.482758621,-29,0,0.620689655,13.80645161,7163,1,6845,1,IND,India,2367,1074,22277275.07,21755882.36,521392.705,1242.781128,3411,6944,5512,-3,0,8,2368,5898,7601,-6,0,7,4031,6207,5629,-7,0,6,0.25,0.39,0.35
Nairobi,1.161290323,4.896551724,45.22580645,0,2,-9.612903226,0,-0.137931034,8.193548387,2171,6,4806;4808;4819;4821;4837;4855,1,KEN,Kenya,859,422,4712493.997,4341950.914,370543.0836,770.7946777,1362,1695,2221,-8,0,10,1746,1793,1739,-8,0,10,1525,1740,2013,-9,0,12,0.29,0.33,0.38
