"","x","y","December","January","February","March","April","May","June","JanDec_dif","FebDec_dif","MarDec_dif","AprDec_dif","MayDec_dif","JunDec_dif","JanDec","FebDec","MarDec","AprDec","MayDec","JunDec"
"39",96.0995233065708,17.0971856450431,11,12,12,14,12,0,11,1,1,3,1,-11,0,"no_change","no_change","slight_positive","no_change","slight_negative","no_change"
"40",96.1040148829914,17.0971856450431,0,0,0,0,0,11,0,0,0,0,0,11,0,"no_change","no_change","no_change","no_change","slight_positive","no_change"
"41",96.108506459412,17.0971856450431,0,0,0,0,0,0,0,0,0,0,0,0,0,"no_change","no_change","no_change","no_change","no_change","no_change"
"42",96.1129980358326,17.0971856450431,0,0,0,0,0,0,0,0,0,0,0,0,0,"no_change","no_change","no_change","no_change","no_change","no_change"
"43",96.1174896122532,17.0971856450431,0,0,0,0,0,0,0,0,0,0,0,0,0,"no_change","no_change","no_change","no_change","no_change","no_change"
"44",96.1219811886738,17.0971856450431,0,0,0,0,0,0,0,0,0,0,0,0,0,"no_change","no_change","no_change","no_change","no_change","no_change"
"45",96.1264727650944,17.0971856450431,0,0,0,0,0,0,0,0,0,0,0,0,0,"no_change","no_change","no_change","no_change","no_change","no_change"
"46",96.130964341515,17.0971856450431,0,0,0,0,0,0,0,0,0,0,0,0,0,"no_change","no_change","no_change","no_change","no_change","no_change"
"47",96.1354559179356,17.0971856450431,0,0,0,0,0,0,0,0,0,0,0,0,0,"no_change","no_change","no_change","no_change","no_change","no_change"
"48",96.1399474943562,17.0971856450431,0,0,0,0,0,0,0,0,0,0,0,0,0,"no_change","no_change","no_change","no_change","no_change","no_change"
"49",96.1444390707768,17.0971856450431,0,0,0,0,0,0,0,0,0,0,0,0,0,"no_change","no_change","no_change","no_change","no_change","no_change"
"50",96.1489306471973,17.0971856450431,0,0,0,0,0,0,0,0,0,0,0,0,0,"no_change","no_change","no_change","no_change","no_change","no_change"
"51",96.1534222236179,17.0971856450431,0,0,0,0,0,0,0,0,0,0,0,0,0,"no_change","no_change","no_change","no_change","no_change","no_change"
"52",96.1579138000385,17.0971856450431,0,0,0,0,0,0,0,0,0,0,0,0,0,"no_change","no_change","no_change","no_change","no_change","no_change"
"53",96.1624053764591,17.0971856450431,0,0,0,0,0,0,0,0,0,0,0,0,0,"no_change","no_change","no_change","no_change","no_change","no_change"
"54",96.1668969528797,17.0971856450431,0,0,0,0,0,0,0,0,0,0,0,0,0,"no_change","no_change","no_change","no_change","no_change","no_change"
"55",96.1713885293003,17.0971856450431,0,0,0,0,0,0,0,0,0,0,0,0,0,"no_change","no_change","no_change","no_change","no_change","no_change"
"56",96.1758801057209,17.0971856450431,0,0,0,0,0,0,0,0,0,0,0,0,0,"no_change","no_change","no_change","no_change","no_change","no_change"
"57",96.1803716821415,17.0971856450431,0,0,0,0,0,0,0,0,0,0,0,0,0,"no_change","no_change","no_change","no_change","no_change","no_change"
"58",96.1848632585621,17.0971856450431,0,0,0,0,0,0,0,0,0,0,0,0,0,"no_change","no_change","no_change","no_change","no_change","no_change"
"59",96.1893548349827,17.0971856450431,0,0,0,0,0,0,0,0,0,0,0,0,0,"no_change","no_change","no_change","no_change","no_change","no_change"
"60",96.1938464114033,17.0971856450431,0,0,0,0,0,0,0,0,0,0,0,0,0,"no_change","no_change","no_change","no_change","no_change","no_change"
"61",96.1983379878239,17.0971856450431,0,0,0,0,0,0,0,0,0,0,0,0,0,"no_change","no_change","no_change","no_change","no_change","no_change"
